web-scraper-order,web-scraper-start-url,base_link,base_link-href,superficie,price,adresse,img
"1740026844-3806","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-200m-cite-keur-gorgui-4044196","200","180 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4044196_uploaded_image2_1673403087.jpeg""); width: 671px;"
"1740026851-3807","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-sicap-keur-massar-4044324","150 m2","10 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4044324_uploaded_image2_1673424047.jpeg""); width: 671px;"
"1740026855-3808","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-200m-deni-biram-ndao-nord-4044442","200","2 000 000 CFA","Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/4044442_uploaded_image2_1673429497.jpeg""); width: 671px;"
"1740026865-3809","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-toubab-dialao-4044536","300","6 000 000 CFA","Toubab Dialao, Sénégal","background-image: url(""https://images.coinafrique.com/4044536_uploaded_image2_1673432944.jpeg""); width: 671px;"
"1740026877-3810","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-keur-gorgui-mermoz-sacre-coeur-4009900","262","280 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1740026889-3811","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-200m-cite-keur-goorgui-4045442","200 m2","250 000 000 CFA","Dakar, Sénégal",""
"1740026892-3812","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-ndiakhirate-4045961","150","6 500 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4045961_uploaded_image1_1673491047.jpg""); width: 671px;"
"1740026894-3813","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-bail-ngor-4010957","150","80 000 000 CFA","Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4010957_uploaded_image1_1671176505.jpg""); width: 671px;"
"1740026901-3814","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-2000-m2-vdn-exclusive-sipres-4010979","2000","2 400 000 000 CFA","Sipres, Dakar, Sénégal",""
"1740026904-3815","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-350m2-tf-cite-keur-gorgui-4011252","350","297 500 000 CFA","Sacré-Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4011252_uploaded_image1_1671186496.jpg""); width: 671px;"
"1740026910-3816","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-thies-4046627","150","2 500 000 CFA","Thies, Sénégal",""
"1740026913-3817","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-deni-biram-ndao-nord-4047299","150","2 500 000 CFA","Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/4047299_uploaded_image1_1673555106.jpg""); width: 671px;"
"1740026920-3818","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-yenne-4047582","150","3 800 000 CFA","Toubab Dialao, Sénégal","background-image: url(""https://images.coinafrique.com/4047582_uploaded_image2_1673568987.jpeg""); width: 671px;"
"1740026922-3819","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-nooto-sao-4047615","15000 m2","3 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4047615_uploaded_image1_1673572875.jpg""); width: 1348px;"
"1740026925-3820","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-4000m-mbour-4047855","4000","60 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4047855_uploaded_image1_1673603855.jpg""); width: 1348px;"
"1740026928-3821","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-mbambilor-4048512","","3 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4048512_uploaded_image1_1673627339.jpg""); width: 1348px;"
"1740026931-3822","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-8-lots-zac-mbao-4049019","150 m2","25 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4049019_uploaded_image1_1673656196.jpg""); width: 671px;"
"1740026934-3823","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/parcelle-1000m2-cite-touba-almdies-4013606","1000","900 000 000 CFA","Mamelles, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4013606_uploaded_image1_1671322249.jpg""); width: 671px;"
"1740026937-3824","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-210m-keur-massar-4049053","210","16 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4049053_uploaded_image1_1673659382.jpg""); width: 671px;"
"1740026939-3825","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-m-petit-mbao-extension-4049518","","17 000 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4049518_uploaded_image1_1673696849.jpg""); width: 671px;"
"1740026942-3826","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-keur-ndiaye-lo-4049913","7766","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4049913_uploaded_image1_1673710575.jpg""); width: 671px;"
"1740026947-3827","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-10000m-thies-4050050","10000","50 000 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4050050_uploaded_image2_1673717013.jpeg""); width: 671px;"
"1740026951-3828","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-610-m2-yoff-virage-4014358","610","550 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4014358_uploaded_image1_1671398453.jpg""); width: 671px;"
"1740026955-3829","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-13000m-saly-4050977","13000 m2","50 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4050977_uploaded_image1_1673796212.jpg""); width: 671px;"
"1740026960-3830","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-200m-mbour-4051274","200","2 900 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4051274_uploaded_image1_1673813798.jpg""); width: 671px;"
"1740026962-3831","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-216m-thiaroye-sur-mer-4051385","216","23 000 000 CFA","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4051385_uploaded_image1_1673821191.jpg""); width: 671px;"
"1740026968-3832","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-141-m2-medina-4015812","141","100 000 000 CFA","Medina, Dakar, Sénégal",""
"1740026971-3833","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-200-m2-diamniadio-yenne-4052098","200","2 000 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/4052098_uploaded_image1_1673877555.jpg""); width: 671px;"
"1740026974-3834","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-thies-4052100","225 m2","8 000 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4052100_uploaded_image1_1673877609.jpg""); width: 671px;"
"1740026978-3835","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-colobane-tanghor-4016746","225 m2","600 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4016746_uploaded_image1_1671548251.jpg""); width: 671px;"
"1740026981-3836","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-a-sipres-4016772","3","90 000 000 CFA","Sipres, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4016772_uploaded_image1_1671549274.jpg""); width: 671px;"
"1740026984-3837","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-cite-baobab-deni-lac-rose-4016787","150 m2","3 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4016787_uploaded_image1_1671550202.jpg""); width: 671px;"
"1740026994-3838","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-diass-4052330","30000","4 000 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/4052330_uploaded_image2_1673886958.jpeg""); width: 671px;"
"1740026998-3839","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-234m-sacre-cur-4052402","","185 000 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4052402_uploaded_image1_1673888376.jpg""); width: 671px;"
"1740027007-3840","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-300m-mbapp-ndullo-4052549","","1 200 000 CFA","Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4052549_uploaded_image2_1673894638.jpeg""); width: 671px;"
"1740027010-3841","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-guediawaye-4053223","150","35 000 000 CFA","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4053223_uploaded_image1_1673950124.jpg""); width: 671px;"
"1740027014-3842","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-7ha-gorome-4053456","","460 000 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4053456_uploaded_image1_1673957606.jpg""); width: 671px;"
"1740027018-3843","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-3-ha-ndayane-4054015","","8 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/4054015_uploaded_image1_1673977854.jpg""); width: 671px;"
"1740027021-3844","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-tivaoune-peul-4055156","150 m2","6 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4055156_uploaded_image1_1674045158.jpg""); width: 671px;"
"1740027024-3845","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-70000-m2-tivaoune-peulh-4019274","70000","18 000 CFA","Almadies 2, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4019274_uploaded_image1_1671709632.jpg""); width: 671px;"
"1740027026-3846","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-230m2-almadies-4019339","230","135 000 000 CFA","Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4019339_uploaded_image1_1671711859.jpg""); width: 671px;"
"1740027030-3847","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-mbao-4055872","150","24 900 000 CFA","Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4055872_uploaded_image1_1674074649.jpg""); width: 671px;"
"1740027034-3848","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-300m-popenguine-kignabur-4056770","3000 m2","30 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4056770_uploaded_image2_1674138278.jpeg""); width: 671px;"
"1740027038-3849","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-bambilor-4056869","150 m2","2 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4056869_uploaded_image1_1674141377.jpg""); width: 671px;"
"1740027043-3850","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-600m-sindia-4057305","600","7 000 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/4057305_uploaded_image1_1674163574.jpg""); width: 671px;"
"1740027047-3851","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-tivaouane-peulh-cite-mariste-4021266","300 m2","14 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4021266_uploaded_image1_1671832619.jpg""); width: 671px;"
"1740027051-3852","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-kounoune-4021275","170 m2","17 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4021275_uploaded_image1_1671833311.jpg""); width: 671px;"
"1740027054-3853","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-325m-mamelles-4057480","325","250 000 000 CFA","Mamelles, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4057480_uploaded_image1_1674172159.jpg""); width: 671px;"
"1740027057-3854","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-massar-4058101","150 m2","23 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4058101_uploaded_image1_1674217299.jpg""); width: 671px;"
"1740027061-3855","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-toubab-dialaw-4058170","150 m2","1 500 000 CFA","Toubab Dialao, Sénégal","background-image: url(""https://images.coinafrique.com/4058170_uploaded_image1_1674219757.jpg""); width: 671px;"
"1740027063-3856","https://sn.coinafrique.com/categorie/terrains?page=51","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-459m2-tf-point-e-4022386","459","500 000 000 CFA","Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4022386_uploaded_image1_1671950181.jpg""); width: 671px;"
"1740027089-3857","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-5-ha-saly-4022586","50000","5 500 000 000 CFA","Saly, Sénégal","background-image: url(""https://images.coinafrique.com/4022586_uploaded_image1_1671974945.jpg""); width: 671px;"
"1740027092-3858","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-u22-4059677","150 m2","13 500 000 CFA","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4059677_uploaded_image1_1674315323.jpg""); width: 671px;"
"1740027098-3859","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-yoff-hangar-pelerin-4020955","441","220 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4020955_uploaded_image2_1671813205.jpeg""); width: 671px;"
"1740027101-3860","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/vente-maison-200-m2-angle-a-demolir-cite-aioune-sow-sicap-liberte-4022984","200","80 000 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4022984_uploaded_image1_1672022439.jpg""); width: 671px;"
"1740027104-3861","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-200-m2-almadies-derriere-boa-4022990","200","90 000 000 CFA","Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4022990_uploaded_image1_1672024880.jpg""); width: 671px;"
"1740027108-3862","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150m-malika-4060595","150","15 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4060595_uploaded_image3_1674390807.jpeg""); width: 671px;"
"1740027113-3863","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-ouest-foire-4061081","150","80 000 000 CFA","Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4061081_uploaded_image1_1674422657.jpg""); width: 671px;"
"1740027117-3864","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-malicounda-4061666","225 m2","3 500 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4061666_uploaded_image1_1674473686.jpg""); width: 671px;"
"1740027124-3865","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-256-m2-mariste-4025148","256","110 000 000 CFA","Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4025148_uploaded_image1_1672177083.jpg""); width: 671px;"
"1740027129-3866","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-keur-moussa-4062864","300 m2","5 000 000 CFA","Fann-Point E-Amitié, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4062864_uploaded_image1_1674553616.jpg""); width: 671px;"
"1740027132-3867","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-hangar-pelerinage-4025752","265 m2","60 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4025752_uploaded_image1_1672229510.99.jpeg""); width: 671px;"
"1740027136-3868","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-hangar-pelerinage-4025771","150 m2","60 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4025771_uploaded_image1_1672229933.48.jpeg""); width: 671px;"
"1740027139-3869","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-hangar-pelerinage-4025759","150 m2","65 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4025759_uploaded_image1_1672229647.92.jpeg""); width: 671px;"
"1740027143-3870","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-hangar-pelerinage-4025792","","600 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4025792_uploaded_image1_1672230626.72.jpeg""); width: 671px;"
"1740027146-3871","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-route-des-almadies-4025788","200 m2","110 000 000 CFA","Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4025788_uploaded_image1_1672230531.73.jpeg""); width: 671px;"
"1740027153-3872","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-aux-almadies-4025778","200 m2","85 000 000 CFA","Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4025778_uploaded_image1_1672230282.31.jpeg""); width: 671px;"
"1740027160-3873","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-diamniadio-4063246","150","1 500 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/4063246_uploaded_image1_1674567164.jpg""); width: 671px;"
"1740027163-3874","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/parcelle-300-m2-yoff-4026298","300","100 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4026298_uploaded_image1_1672257179.jpg""); width: 671px;"
"1740027167-3875","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-keur-massar-4064253","150","16 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4064253_uploaded_image1_1674632657.jpg""); width: 671px;"
"1740027170-3876","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-daouda-sarr-4064490","","7 300 000 CFA","Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4064490_uploaded_image1_1674642324.jpg""); width: 671px;"
"1740027176-3877","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-niague-4026964","150 m2","15 000 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4026964_uploaded_image2_1672314829.46.jpeg""); width: 671px;"
"1740027180-3878","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-225m-thiaroye-azur-4064895","225","35 000 000 CFA","Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4064895_uploaded_image1_1674654813.jpg""); width: 671px;"
"1740027182-3879","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/site-notto-gouye-diama-4027080","180 m2","Prix sur demande","Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/4027080_uploaded_image1_1672320777.jpg""); width: 671px;"
"1740027186-3880","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4065117","150","14 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4065117_uploaded_image1_1674663915.jpg""); width: 671px;"
"1740027189-3881","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/parcelles-150-m2-keur-massar-4065533","150 m2","13 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4065533_uploaded_image1_1674688689.jpg""); width: 671px;"
"1740027199-3882","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-cite-isra-de-niacoulroub-4027721","150 m2","15 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4027721_uploaded_image1_1672356334.jpg""); width: 671px;"
"1740027208-3883","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-keur-massar-4027730","320 m2","65 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4027730_uploaded_image2_1672357096.jpeg""); width: 671px;"
"1740027220-3884","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-almadies-2-4027751","150 m2","30 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4027751_uploaded_image2_1672359400.jpeg""); width: 671px;"
"1740027227-3885","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/vente-3-terrains-jumeles-almadie02-4027777","150 m2","30 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/4027777_uploaded_image2_1672360823.jpeg""); width: 671px;"
"1740027234-3886","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-200m2-bail-derriere-boa-almadies-4027969","200","90 000 000 CFA","Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4027969_uploaded_image1_1672389859.jpg""); width: 671px;"
"1740027239-3887","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-17000-m2-thies-4066051","17000","150 000 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4066051_uploaded_image1_1674733650.jpg""); width: 671px;"
"1740027243-3888","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-4066124","150","3 000 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4066124_uploaded_image1_1674736170.jpg""); width: 671px;"
"1740027247-3889","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-300m-hann-maristes-4067675","300 m2","175 000 000 CFA","Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4067675_uploaded_image1_1674825804.jpg""); width: 671px;"
"1740027252-3890","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-300m-point-sarene-mbour-4067742","300","20 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4067742_uploaded_image1_1674829404.jpg""); width: 671px;"
"1740027260-3891","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/parcelles-600-1200-m2-corniche-mamelles-4029106","600","900 000 CFA","Mamelles, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4029106_uploaded_image1_1672501753.jpg""); width: 671px;"
"1740027262-3892","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-12000m-pout-4067947","1200 m2","45 000 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/4067947_uploaded_image3_1674839839.jpeg""); width: 671px;"
"1740027266-3893","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrain-3035-m2-pikine-4029299","3035","625 000 000 CFA","Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/4029299_uploaded_image1_1672525546.jpg""); width: 671px;"
"1740027269-3894","https://sn.coinafrique.com/categorie/terrains?page=50","favorite_border2années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-kounoune-4068966","150","8 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4068966_uploaded_image1_1674925021.jpg""); width: 671px;"
